Export Country/Territory,Import Country/Territory,Trade_Value
Austria,Taiwan,11596295.8
Austria,Thailand,5314050.22
Austria,Turkmenistan,8327252.22
Austria,Ukraine,11895475.79
Austria,United Arab Emirates,15842428.82
Austria,United Kingdom,439231929.54
Austria,Venezuela,664.77
Austria,Vietnam,2619314.79
Azerbaijan,Georgia,1440282.06
Azerbaijan,Russia,190668.24
Azerbaijan,Ukraine,90616.56
Azerbaijan,United Arab Emirates,570544.45
Bahrain,Iraq,708919.65
Bahrain,Kuwait,3012028.8
Bahrain,Liberia,11743.800000000001
Bahrain,Marshall Islands,4280.94
Bahrain,Niger,100229.66
Bahrain,Oman,7680204.71
Bahrain,Saudi Arabia,7023593.350000001
Bahrain,United Arab Emirates,210420.74
Bangladesh,Austria,26119.97
Bangladesh,France,679.79
Bangladesh,Germany,1301511.78
Bangladesh,Guatemala,1749.87
Bangladesh,Ireland,188.29
Bangladesh,Kuwait,862998.25
Bangladesh,Maldives,2019790.05
Bangladesh,Netherlands,1280.04
Barbados,Dominica,745573.2200000001
Barbados,Grenada,179472.01
Barbados,Guyana,2111457.09
Barbados,St Kitts and Nevis,20654.54
Barbados,St Lucia,7692337.8100000005
Barbados,St Vincent and the Grenadines,5394025.34
Barbados,Trinidad and Tobago,1388367.3699999999
Belarus,Armenia,23275174.73
Belarus,Azerbaijan,12559230.22
Belarus,China (mainland),1269948969.33
Belarus,Georgia,10654691.8
Belarus,Ghana,212798.88
Belarus,Hong Kong SAR,127491.48
Belarus,Jordan,226989.06
Belarus,Kazakhstan,321813126.46999997
Belarus,Kyrgyzstan,23175419.91
Belarus,Malaysia,54548.240000000005
Belarus,Moldova,4172541.37
Belarus,Mongolia,908930.63
Belarus,New Zealand,17324.64
Belarus,Russia,486482209.9
Belarus,South Korea,2016269.83
Belarus,Tajikistan,7392559.21
Belarus,Turkmenistan,150592.87
Belarus,Ukraine,17332765.71
Belarus,United Arab Emirates,26752.28
Belarus,Uzbekistan,158475057.35
Belgium,Albania,1031766.87
Belgium,Angola,10171770.79
Belgium,Austria,29419132.48
Belgium,Bahamas,492662.85
Belgium,Bahrain,5047135.79
Belgium,Benin,653776.84
Belgium,Bosnia and Herzegovina,1283853.59
Belgium,Bulgaria,119369949.16
Belgium,Burkina Faso,67121.13
Belgium,Burundi,35044.88
Belgium,Cambodia,51145.57
Belgium,Cameroon,8714785.370000001
Belgium,Canada,3915242.96
Belgium,Central African Republic,33004.03
Belgium,Chad,1674043.79
Belgium,Chile,4437335.14
Belgium,China (mainland),16432409.83
Belgium,Comoros,2147781.09
Belgium,"Congo, D.R.",55416480.72
Belgium,"Congo, Republic of the",29736085.38
Belgium,Costa Rica,120479.17
Belgium,Croatia,43119259.67
Belgium,Curacao,153777.22999999998
Belgium,Cyprus,83563236.64
Belgium,Czechia,132707796.57
Belgium,Côte d'Ivoire,13859481.52
Belgium,Denmark,241510256.07
Belgium,Equatorial Guinea,5233370.67
Belgium,Estonia,39570075.49
Belgium,Ethiopia,5587794.82
Belgium,Finland,44119371.28
Belgium,France,4235020625.24
Belgium,French Polynesia,6477760.2700000005
Belgium,Gabon,44151963.17
Belgium,"Gambia, The",66539.39
Belgium,Georgia,319901.19
Belgium,Germany,1900652758.78
Belgium,Ghana,15745698.49
Belgium,Greece,105416938.33
Belgium,Guinea,2968655.77
Belgium,Haiti,968286.58
Belgium,Hong Kong SAR,25210637.31
Belgium,Hungary,56549394.07
Belgium,Iceland,780362.13
Belgium,India,21449429.22
Belgium,Indonesia,233318.5
Belgium,Ireland,75297553.48
Belgium,Israel,2121.51
Belgium,Italy,179643503.32
Belgium,Japan,68484375.42
Belgium,Jordan,1891204.25
Belgium,Kosovo,1937603.66
Belgium,Kuwait,10018439.73
Belgium,Latvia,13310827.42
Belgium,Lebanon,15209418.97
Belgium,Liberia,693524.95
Belgium,Lithuania,55160691.35
Belgium,Luxembourg,1199565789.02
Belgium,"Macedonia, North",11602857.23
Belgium,Malaysia,111503037.97
Belgium,Maldives,2959240.56
Belgium,Mali,41425.31
Belgium,Malta,54821396.04
Belgium,Mauritius,20594.86
Belgium,Moldova,2760596.1
Belgium,Mongolia,252892.87
Belgium,Montenegro,4406551.24
Belgium,Namibia,430536.24
Belgium,Netherlands,8697064721.869999
Belgium,New Caledonia,96209741.89
Belgium,New Zealand,26363962.02
Belgium,Niger,2121.12
Belgium,Nigeria,2044092.6400000001
Belgium,Norway,16403907.06
Belgium,Oman,2848287.29
Belgium,Panama,157076.63999999998
Belgium,Philippines,270549279.36
Belgium,Poland,565662284.65
Belgium,Portugal,128319016.32
Belgium,Qatar,26767839.59
Belgium,Romania,201460156.88
Belgium,Russia,34927117.78
Belgium,Rwanda,420220.6
Belgium,Saudi Arabia,35718.49
Belgium,Senegal,3769532.88
Belgium,Serbia,37178344.0
Belgium,Seychelles,1328337.97
Belgium,Sierra Leone,1467697.32
Belgium,Singapore,12012954.29
